date,t,asset,side,qty,price,notional,fee_paid,cash_change,reason,signal_score
2016-09-12,1,btc,buy,0.8844386082216771,609.67,539.2156862745098,10.784313725490197,-550.0,buy_reversion,35.88010000000011
2016-09-13,2,btc,buy,0.39718303349625067,610.92,242.64705882352945,4.852941176470589,-247.50000000000003,buy_reversion,9.985599999999799
2016-09-14,3,btc,buy,0.17934886579052628,608.82,109.19117647058822,2.1838235294117645,-111.37499999999999,buy_reversion,15.563024999999497
2016-09-15,4,btc,buy,0.08050071989869378,610.38,49.13602941176471,0.9827205882352942,-50.118750000000006,buy_reversion,3.640464000000059
2016-09-16,5,btc,buy,0.036300854090877036,609.11,22.111213235294112,0.4422242647058823,-22.553437499999994,buy_reversion,0.4488999999999452
2016-09-17,6,btc,buy,0.016391087829273766,607.04,9.950045955882347,0.19900091911764695,-10.149046874999994,buy_reversion,4.901796000000246
2016-09-18,7,btc,buy,0.007321234638390815,611.58,4.477520680147055,0.08955041360294111,-4.5670710937499965,buy_momentum,1.2000000000000455
2016-09-19,8,gold,buy,0.001547578549363947,1314.85,2.0348336556311857,0.020348336556311856,-2.0551819921874976,buy_momentum,6.5
2016-09-20,9,btc,buy,0.001489662435070118,608.66,0.906697937729778,0.018133958754595562,-0.9248318964843736,buy_reversion,0.4303360000000823
2016-09-21,10,btc,buy,0.000681295204345445,598.88,0.4080140719784001,0.008160281439568002,-0.4161743534179681,buy_reversion,70.39209999999977
2016-09-22,11,btc,buy,0.0003073320819361255,597.42,0.18360633239028007,0.0036721266478056016,-0.18727845903808568,buy_reversion,62.82147600000071
2016-09-23,12,btc,buy,0.00013907697545048817,594.08,0.08262284957562602,0.0016524569915125204,-0.08427530656713854,buy_reversion,60.31075599999942
2016-09-24,13,btc,buy,6.156899103966302e-05,603.88,0.037180282309031705,0.0007436056461806341,-0.037923887955212336,buy_momentum,5.0
2016-09-25,14,btc,buy,2.7804578454256432e-05,601.74,0.016731127039064264,0.0003346225407812853,-0.017065749579845548,buy_momentum,4.32000000000005
2016-09-26,15,btc,buy,1.256971379274587e-05,598.98,0.007529007167578922,0.00015058014335157845,-0.007679587310930501,buy_reversion,0.05760000000000436
2016-09-27,16,btc,buy,5.591215963777334e-06,605.96,0.003388053225410514,6.776106450821027e-05,-0.003455814289918724,buy_momentum,2.080000000000041
2016-09-28,17,btc,buy,2.5172518887095794e-06,605.67,0.0015246239514347308,3.0492479028694616e-05,-0.0015551164304634254,buy_momentum,3.92999999999995
2016-09-29,18,gold,buy,5.256609188507472e-07,1318.1,0.0006928736571371699,6.9287365713716984e-06,-0.0006998023937085416,buy_reversion,126.5625
2016-09-30,19,btc,buy,5.066317960017934e-07,609.39,0.00030873635016553285,6.174727003310657e-06,-0.0003149110771688435,buy_momentum,3.42999999999995
2016-10-01,20,btc,buy,2.259707842530981e-07,614.82,0.00013893135757448978,2.778627151489796e-06,-0.00014170998472597959,buy_momentum,9.150000000000091
2016-10-02,21,btc,buy,1.0199208931534537e-07,612.98,6.251911090852041e-05,1.2503822181704082e-06,-6.376949312669081e-05,buy_momentum,9.129999999999995
2016-10-03,22,btc,buy,4.598120439459701e-08,611.85,2.813359990883418e-05,5.626719981766837e-07,-2.8696271907010865e-05,buy_momentum,2.4600000000000364
2016-10-04,23,gold,buy,9.962960867561342e-09,1283.3,1.278546768134147e-05,1.278546768134147e-07,-1.2913322358154884e-05,buy_reversion,871.4304000000124
