date,t,asset,side,qty,price,notional,fee_paid,cash_change,reason,signal_score
2016-09-12,1,btc,buy,0.042902388983729785,609.67,26.156299491710538,0.5231259898342108,-26.679425481544747,buy_reversion,15.94671111111116
2016-09-13,2,btc,buy,0.007095166683810415,610.92,4.334579230473459,0.08669158460946917,-4.421270815082928,buy_reversion,2.7206669753086934
2016-09-14,3,gold,buy,0.0031282916363628913,1321.75,4.134819470362651,0.041348194703626516,-4.176167665066278,buy_reversion,5.640625
2016-09-15,4,gold,buy,0.08508361511812354,1310.8,111.52760269683633,1.1152760269683633,-112.64287872380469,buy_reversion,151.53609999999867
2016-09-16,5,gold,buy,0.07781874887880544,1308.35,101.8141600955851,1.018141600955851,-102.83230169654095,buy_reversion,156.33334444444438
2016-09-17,6,gold,buy,0.0,1308.35,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-09-17,6,btc,buy,0.00030519276828869403,607.04,0.18526421806196883,0.0037052843612393766,-0.1889695024232082,buy_reversion,0.15010089795918247
2016-09-18,7,gold,buy,0.0,1308.35,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-09-18,7,btc,buy,8.63651590798361e-05,611.58,0.052819203990046165,0.0010563840798009233,-0.05387558806984709,buy_momentum,0.04312499999999986
2016-09-19,8,gold,buy,0.0017546374026585414,1314.85,2.307084988885583,0.02307084988885583,-2.3301558387744388,buy_momentum,4.0499999999999545
2016-09-20,9,gold,buy,0.0023575970069062827,1313.8,3.0974109476734744,0.030974109476734745,-3.128385057150209,buy_momentum,5.4500000000000455
2016-09-21,10,gold,buy,0.007505056768592807,1326.1,9.95245578083092,0.09952455780830921,-10.051980338639229,buy_momentum,17.75
2016-09-22,11,gold,sell,0.0,1339.1,0.0,0.0,0.0,blocked_by_hold,0.0
2016-09-22,11,gold,buy,0.012578128134067924,1339.1,16.843371384330357,0.16843371384330358,-17.01180509817366,buy_momentum,30.75
2016-09-23,12,gold,buy,0.009515872883297022,1338.65,12.738423235225559,0.1273842323522556,-12.865807467577815,buy_momentum,23.800000000000182
2016-09-24,13,gold,sell,0.0,1338.65,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-09-25,14,gold,sell,0.0,1338.65,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-09-26,15,gold,sell,0.0,1340.5,0.0,0.0,0.0,blocked_by_hold,0.0
2016-09-27,16,gold,sell,0.0,1327.0,0.0,0.0,0.0,blocked_by_hold,0.0
2016-09-28,17,gold,sell,0.0,1322.5,0.0,0.0,0.0,blocked_by_hold,0.0
2016-09-29,18,gold,sell,0.0,1318.1,0.0,0.0,0.0,blocked_by_hold,0.0
2016-09-30,19,gold,sell,0.0,1322.5,0.0,0.0,0.0,blocked_by_hold,0.0
2016-10-01,20,gold,sell,0.0,1322.5,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-10-02,21,gold,sell,0.0,1322.5,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-10-03,22,gold,sell,0.0,1313.3,0.0,0.0,0.0,blocked_by_hold,0.0
2016-10-04,23,gold,sell,0.0,1283.3,0.0,0.0,0.0,blocked_by_hold,0.0
2016-10-08,27,gold,sell,0.0,1258.75,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-10-09,28,gold,sell,0.0,1258.75,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-10-15,34,gold,sell,0.0,1251.75,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-10-16,35,gold,sell,0.0,1251.75,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-10-22,41,gold,sell,0.0,1266.05,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-10-23,42,gold,sell,0.0,1266.05,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-10-29,48,gold,sell,0.0,1273.0,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-10-30,49,gold,sell,0.0,1273.0,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-11-05,55,gold,sell,0.0,1302.8,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-11-06,56,gold,sell,0.0,1302.8,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-11-12,62,gold,sell,0.0,1236.45,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-11-13,63,gold,sell,0.0,1236.45,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-11-19,69,gold,sell,0.0,1211.0,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-11-20,70,gold,sell,0.0,1211.0,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-11-23,73,gold,sell,0.19974194782881444,1185.35,236.7641178588852,2.367641178588852,234.39647668029633,extreme_sell,-25.65000000000009
2017-01-05,116,btc,sell,0.05038911359490873,994.67,50.12053961944787,1.0024107923889574,49.11812882705891,extreme_sell,-3.050000000000068
2017-01-06,117,gold,buy,0.0,1175.85,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-01-06,117,btc,buy,0.0,999.65,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-01-07,118,gold,buy,0.0,1175.85,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-01-07,118,btc,buy,0.0,896.83,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-01-07,118,gold,buy,0.0,1175.85,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-01-08,119,gold,buy,0.0,1175.85,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-01-08,119,btc,buy,0.0,908.14,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-01-08,119,gold,buy,0.0,1175.85,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-01-09,120,gold,buy,0.0,1178.5,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-01-09,120,btc,buy,0.0,910.49,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-01-10,121,gold,buy,0.0,1189.5,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-01-10,121,btc,buy,0.0,906.05,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-01-11,122,btc,buy,0.0,785.22,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-01-12,123,gold,buy,0.0,1205.05,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-01-12,123,btc,buy,0.0,780.92,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-01-13,124,gold,buy,0.0,1190.35,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-01-13,124,btc,buy,0.0,826.29,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-01-14,125,btc,buy,0.0,817.91,0.0,0.0,0.0,blocked_by_no_buy,0.0
