date,t,price_gold,price_btc,cash,gold_qty,btc_qty,nav_total,nav_cash,nav_gold,nav_btc,state_extreme,state_no_buy,hold_left_gold,hold_left_btc,profit_gold,profit_btc,chosen_buy_asset,sell_flag_gold,sell_flag_btc,dd
2016-09-11,0,1324.6,621.65,1000.0,0.0,0.0,1000.0,1000.0,0.0,0.0,none,none,0,0,0.0,0.0,none,False,False,0.0
2016-09-12,1,1324.6,609.67,1000.0,0.0,0.0,1000.0,1000.0,0.0,0.0,none,none,0,0,0.0,0.0,none,False,False,0.0
2016-09-13,2,1323.65,610.92,1000.0,0.0,0.0,1000.0,1000.0,0.0,0.0,none,none,0,0,0.0,0.0,none,False,False,0.0
2016-09-14,3,1321.75,608.82,1000.0,0.0,0.0,1000.0,1000.0,0.0,0.0,none,none,0,0,0.0,0.0,none,False,False,0.0
2016-09-15,4,1310.8,610.38,1000.0,0.0,0.0,1000.0,1000.0,0.0,0.0,none,none,0,0,0.0,0.0,none,False,False,0.0
2016-09-16,5,1308.35,609.11,1000.0,0.0,0.0,1000.0,1000.0,0.0,0.0,none,none,0,0,0.0,0.0,none,False,False,0.0
2016-09-17,6,1308.35,607.04,1000.0,0.0,0.0,1000.0,1000.0,0.0,0.0,none,none,0,0,0.0,0.0,none,False,False,0.0
2016-09-18,7,1308.35,611.58,500.0,0.0,0.8015240498894217,990.1960784313726,500.0,0.0,490.19607843137254,none,none,0,12,0.0,2.759999999999991,btc,False,False,-0.009803921568627416
2016-09-19,8,1314.85,610.19,250.00000000000003,0.18825322468361222,0.8015240498894217,986.6067124772737,250.00000000000003,247.5247524752475,489.0819600020263,none,none,12,11,4.0499999999999545,0.0,gold,False,False,-0.013393287522726283
2016-09-20,9,1313.8,608.66,125.0,0.2824550638049578,0.8015240498894217,983.9450910326489,125.0,371.08946282695354,487.8556282056954,none,none,12,10,5.4500000000000455,0.0,gold,False,False,-0.016054908967351178
2016-09-21,10,1326.1,598.88,62.50000000000001,0.32911910733019106,0.8015240498894217,978.9615712283432,62.50000000000001,436.4448482305663,480.01672299777687,none,none,12,9,17.75,0.0,gold,False,False,-0.021038428771656736
2016-09-22,11,1339.1,597.42,31.250000000000007,0.3522246215258493,0.8015240498894217,981.760488570203,31.250000000000007,471.6639906852648,478.8464978849383,none,none,12,8,30.75,0.0,gold,False,False,-0.018239511429796962
2016-09-23,12,1338.65,594.08,15.625000000000004,0.36378126219346446,0.8015240498894217,978.7701941935888,15.625000000000004,486.9757866352812,476.1694075583077,none,none,12,7,23.800000000000182,0.0,gold,False,False,-0.021229805806411095
2016-09-24,13,1338.65,603.88,7.812500000000002,0.369559582527272,0.8015240498894217,986.5477783973568,7.812500000000002,494.7109351501327,484.024343247224,none,none,12,6,24.850000000000136,0.0,gold,False,False,-0.013452221602643255
2016-09-25,14,1338.65,601.74,1.9531250000000009,0.3710041626107239,0.807888354842965,984.7365859220513,1.9531250000000009,496.64472227884556,486.1387386432057,none,none,12,12,12.550000000000182,2.8600000000000136,gold,False,False,-0.015263414077948734
2016-09-26,15,1340.5,598.98,0.9765625000000004,0.3717254558329219,0.807888354842965,983.1835028278709,0.9765625000000004,498.2979735440318,483.90896678383916,none,none,12,11,1.400000000000091,0.0,gold,False,False,-0.016816497172129075
2016-09-27,16,1327.0,605.96,0.4882812500000002,0.3717254558329219,0.8086783527105521,983.7946957487736,0.4882812500000002,493.27967989028735,490.0267346084862,none,none,11,12,0.0,11.879999999999995,btc,False,False,-0.01620530425122635
2016-09-28,17,1322.5,605.67,0.2441406250000001,0.3717254558329219,0.8090735407732291,981.8826274041608,0.2441406250000001,491.6069153390392,490.03157144012164,none,none,10,12,0.0,1.7899999999999636,btc,False,False,-0.018117372595839232
2016-09-29,18,1318.1,603.85,0.12207031250000004,0.3717254558329219,0.8092717303517019,978.7721280187495,0.12207031250000004,489.9713233333743,488.67873437287517,none,none,9,12,0.0,2.1100000000000136,btc,False,False,-0.021227871981250424
2016-09-30,19,1322.5,609.39,0.06103515625000002,0.3717254558329219,0.8093699242644349,984.8898886427932,0.06103515625000002,491.6069153390392,493.221938147504,none,none,8,12,0.0,10.409999999999968,btc,False,False,-0.015110111357206857
2016-10-01,20,1322.5,614.82,0.030517578125000014,0.3717254558329219,0.809418587603689,989.2841689476643,0.030517578125000014,491.6069153390392,497.6467360305001,none,none,7,12,0.0,8.860000000000014,btc,False,False,-0.010715831052335756
2016-10-02,21,1322.5,612.98,0.015258789062500007,0.3717254558329219,0.8094429923104006,987.7945395545311,0.015258789062500007,491.6069153390392,496.1723654264294,none,none,6,12,0.0,7.310000000000059,btc,False,False,-0.012205460445468885
2016-10-03,22,1313.3,611.85,0.0076293945312500035,0.3717254558329219,0.809455217199769,983.4598451835861,0.0076293945312500035,488.18704114537627,495.2651746436787,none,none,5,12,0.0,8.0,btc,False,False,-0.01654015481641391
2016-10-04,23,1283.3,609.62,0.0076293945312500035,0.3717254558329219,0.809455217199769,970.502996374243,0.0076293945312500035,477.0352774703886,493.46008950932315,none,none,4,11,0.0,0.0,none,False,False,-0.029497003625757023
2016-10-05,24,1269.4,607.18,0.0076293945312500035,0.3717254558329219,0.809455217199769,963.360941808198,0.0076293945312500035,471.86829363431104,491.4850187793557,none,none,3,10,0.0,0.0,none,False,False,-0.03663905819180191
2016-10-06,25,1254.5,612.08,0.0076293945312500035,0.3717254558329219,0.809455217199769,961.7885630805664,0.0076293945312500035,466.3295843424005,495.45134934363466,none,none,2,9,0.0,0.0,none,False,False,-0.03821143691943363
2016-10-07,26,1258.75,617.21,0.0038146972656250013,0.3717254558329219,0.8094612765625143,967.5208267341055,0.0038146972656250013,467.9094175296904,499.6075945071495,none,none,1,12,0.0,5.360000000000014,btc,False,False,-0.032479173265894445
2016-10-08,27,1258.75,614.74,0.0019073486328125007,0.3717254558329219,0.8094643184170219,965.5214199820033,0.0019073486328125007,467.9094175296904,497.61009510368007,none,none,0,12,0.0,5.1200000000000045,btc,False,False,-0.03447858001799675
2016-10-09,28,1258.75,615.65,0.0019073486328125007,0.3717254558329219,0.8094643184170219,966.2580325117627,0.0019073486328125007,467.9094175296904,498.3467076334395,btc,none,0,11,0.0,8.470000000000027,none,False,False,-0.03374196748823721
2016-10-10,29,1259.5,617.54,0.0019073486328125007,0.3717254558329219,0.8094643184170219,968.0667141654457,0.0019073486328125007,468.18821162156513,499.8765951952477,btc,none,0,10,0.0,5.459999999999923,none,False,False,-0.03193328583455435
2016-10-11,30,1253.45,614.77,0.0019073486328125007,0.3717254558329219,0.8094643184170219,963.5755589956414,0.0019073486328125007,465.9392726137759,497.63437903323256,btc,none,0,9,0.0,0.0,none,False,False,-0.0364244410043586
2016-10-12,31,1256.5,635.01,0.0019073486328125007,0.3717254558329219,0.8094643184170219,981.0928794406922,0.0019073486328125007,467.0730352540663,514.017936837993,btc,none,0,8,0.0,20.269999999999982,none,False,False,-0.018907120559307877
2016-10-13,32,1261.05,635.96,0.0019073486328125007,0.3717254558329219,0.8094643184170219,983.5532213672282,0.0019073486328125007,468.7643860781061,514.7869279404892,btc,none,0,7,2.2999999999999545,20.31000000000006,none,False,False,-0.016446778632771886
2016-10-14,33,1251.75,634.02,0.0019073486328125007,0.3717254558329219,0.8094643184170219,978.525813850253,0.0019073486328125007,465.30733933885995,513.2165671627603,btc,none,0,6,0.0,16.480000000000018,none,False,False,-0.021474186149746943
2016-10-15,34,1251.75,637.94,0.0019073486328125007,0.3717254558329219,0.8094643184170219,981.6989139784478,0.0019073486328125007,465.30733933885995,516.389667290955,btc,none,0,5,0.0,23.170000000000073,none,False,False,-0.018301086021552226
2016-10-16,35,1251.75,641.42,0.0019073486328125007,0.3717254558329219,0.8094643184170219,984.5158498065389,0.0019073486328125007,465.30733933885995,519.2066031190461,btc,none,0,4,0.0,6.409999999999968,none,False,False,-0.015484150193461166
2016-10-17,36,1254.8,638.97,0.0019073486328125007,0.3717254558329219,0.8094643184170219,983.6664248667078,0.0019073486328125007,466.44110197915035,517.2234155389245,btc,none,0,3,0.0,3.009999999999991,none,False,False,-0.016333575133292255
2016-10-18,37,1258.2,636.29,0.0019073486328125007,0.3717254558329219,0.8094643184170219,982.7609270431819,0.0019073486328125007,467.7049685289823,515.0540511655669,btc,none,0,2,6.4500000000000455,0.0,none,False,False,-0.017239072956818036
2016-10-19,38,1269.05,629.25,0.0019073486328125007,0.3717254558329219,0.8094643184170219,981.0955194373133,0.0019073486328125007,471.7381897247695,509.35542236391103,btc,none,0,1,17.299999999999955,0.0,none,False,False,-0.018904480562686676
2016-10-20,39,1271.65,627.72,0.0019073486328125007,0.3717254558329219,0.8094643184170219,980.8235252153011,0.0019073486328125007,472.70467590993513,508.11694195673306,btc,none,0,0,19.90000000000009,0.0,none,False,False,-0.01917647478469897
2016-10-21,40,1266.05,631.92,0.0019073486328125007,0.3717254558329219,0.8094643184170219,982.141612799988,0.0019073486328125007,470.62301335727074,511.5166920940845,btc,none,0,0,11.25,0.0,none,False,False,-0.017858387200011983
2016-10-22,41,1266.05,655.48,0.0019073486328125007,0.3717254558329219,0.8094643184170219,1001.2125921418931,0.0019073486328125007,470.62301335727074,530.5876714359896,btc,none,0,0,7.849999999999909,19.190000000000055,none,False,False,0.0
2016-10-23,42,1266.05,653.25,0.0019073486328125007,0.3717254558329219,0.8094643184170219,999.4074867118231,0.0019073486328125007,470.62301335727074,528.7825660059195,btc,none,0,0,0.0,24.0,none,False,False,-0.0018029192243860237
2016-10-24,43,1265.55,651.39,0.0019073486328125007,0.3717254558329219,0.8094643184170219,997.716020351651,0.0019073486328125007,470.4371506293543,527.2769623736639,btc,none,0,0,0.0,23.66999999999996,none,False,False,-0.0034923370098272066
